shop_name,tire_40_before,tire_80_before,tire_120_before,tire_200_before,tire_300_before,tire_600_before,,
บริษัท แอลเอช ทรานสปอร์ต จำกัด,,,,200,,,,
บริษัท อาร์เจ โลจีสติกส์ จำกัด+เอ็นพี24,,,120,,,600,,
บริษัท ฟาอีฟ โลจีสติกส์ จำกัด,,,120,,,,,
บริษัท เมืองน่าอยู่ จำกัด,40, ,,,,,,
บริษัท ว.ลาภส่งผล โลจีสติกส์ จำกัด,,80,,,,,,
บริษัท เอเบิลทรานสปอร์ต, ,80,,,,,,
บริษัท สปีดดี ทรานส์เซอร์วิส จำกัด,40,,,,,,,
บริษัท ส.รัตนเทพขนส่ง จำกัด, ,80,,,,,,
บริษัท ไฮปั๊ม จำกัด,40,,,,,,,
บริษัท วีเชน จำกัด แฟลช,,, ,,,,,
บริษัท เอสวีสหัสวรรษแอนด์ เซอร์วิส,,80,,,,,,
หจก. จิรวัฒน์ขนส่ง,40,,,,,,,
บริษัท พีเอสเค 02 ทรานสปอร์ต จำกัด,,80,,,,,,
บริษัท พัชรสินี 42 จำกัด,,80,,,,,,
บริษัท เคเอ็นเอ็น ไดนามิคทรานสปอร์ต จำกัด,40,,,,,,,
บจก.เมอร์เล็กซ์ทรานสปร์อต, ,80,,,,,,
บจก.โซนิคออโตโลจิส,40,,,,,,,
บจก.บางพลีใหญ่ขนส่ง,,,,,,,,
บริษัท พาราสัมพันธ์ จำกัด,,80,,,,,,
"ช.ทวีก่อสร้าง, ดอนเมือง",,,,,300,,,
หจก.พรแม่สาห์ จำกัด,,80,,,,,,
หจก.ส.ภัสรชัย จำกัด,40,,,,,,,
หจก. ช เทียนเจริญ,,80,,,,,,
หจก.บางไทร เคหะภัณฑ์,40,,,,,,,
บจก. เอส ที ดี ทรานสปอร์ต,40,,,,,,,
บริษัท สุภาณิฏฐ์ อินเตอร์ กรุ๊ป จำกัด,40,,,,,,,
บริษัท พ.สิทธโชค จำกัด,40,,,,,,,
บริษัท อินทร์จำนงค์ จำกัด,40,,,,,,,
บริษัท เฟื่องฟ้าชฎาวรรณ ขนส่ง จำกัด,40,,,,,,,
บริษัท ภูเก็ตศรีสุชาติขนส่ง จำกัด,,80,,,,,,
หจก.รักสุจริต,,80,,,,,,
บริษัท ธันย์แอนด์ธี ทรานสปอร์ต,,,,,300,,,
บริษัท ลูกอัดไทย  ลูกค้าใหม่,40,,,,,,,
บจก. สหศักดิ์  ลูกค้าใหม่,40,,,,,,,
บจก.ประยูรวิศ ลูกค้าใหม่,40,,,,,,,
บจก.เอ็กซ์เซอร์เร้น,,,,,,600,,
บริษัท เฉลิมภัทร ทรานสปอร์ต ,40,,,,,,,
บริษัท แสงสหทรัพย์ จำกัด,,,,,,600,,
ห้างหุ้นส่วนจำกัด เจตนาเจริญขนส่ง,,,120, ,,,,
บริษัท ฉันทวิลาศ (2002) จำกัด,40,,,,,,,
ห้างหุ้นส่วนจำกัด ศรีพรกิจ ทรานสปอร์ต,,,,200,,,,
บริษัท เชียงใหม่ริมดอย จำกัด (มหาชน),40,,,,,,,
บริษัท ไทยรุ่งพัฒนาขนส่ง จำกัด,,80,,,,,,
ห้างหุ้นส่วนจำกัด กรเอก ทรานสปอร์ต (สำรอง),40,,,,,,,
บริษัท เหรียญเฮง จำกัด  (สำรอง),,80,,,,,,
บริษัท  แสงชัยโชค  จำกัด  (สำรอง),40,,,,,,,
บริษัท  อุดมพัฒนา (สำรอง),,,,0,,,,
บริษัท  หงส์ดำ (สำรอง),,80,,,,,,
หจก.ก้าวสุวรรณ,,80,,,,,,
หจก.วสุโลจิสติกส์,40, ,,,,,,
หจก.วีระวิภา ทรานสปอร์ต,,80,,,,,,
หจก.นารถรวี ขนส่ง,40,,,,,,,
บจก.ภาคภูมิโลจิสติกส์,,,120,,,,,
บจก.ยุทธนาทรานสปอร์ต, ,80,,,,,,
หจก.ภูพลบุตรทรานสปอร์ต,40,,,,,,,
หจก.ชมแขขนส่ง,40,,,,,,,
บจก.วินทีม,40,,,,,,,
บจก.ตวงพรขนส่ง,40,,,,,,,
บจก.สมยศ,40,,,,,,,
บจก.นิติยาขนส่ง,,80,,,,,,
บจก.ทีเอ็มทีสตีล(ลค.ใหม่),40,,,,,,,
บจก.ธีรภัค ทรานสปอร์ต(ลค.ใหม่),40, ,,,,,,
หจก.ทองทรานทรานสปอร์ต,40,,,,,,,
บจก.ทรงยศท่องเที่ยว,,80,,,,,,
หจก.นพมงคลเซอร์วิส,,80,,,,,,
,,,,,,,,
,,,,,,,,
,1240,1680,480,400,600,1800,,6200
